,,Predicted,Actual,Error,Player,Score,,,
,,1,24,23,K.J. McDaniels,11.22800641,,,
,,2,34,32,Russ Smith,8.075915907,error less than 5,13,0.325
,,3,30,27,Nick Johnson,7.085316858,less than 10,17,0.425
,,4,39,35,Jordan McRae,5.038833759,greater than 20,10,
,,5,5,0,Marcus Smart,6.188549851,,,
,,6,27,21,Jarnell Stokes,10.45191301,,,
,,7,26,19,Cleanthony Early,11.07403696,,,
,,8,10,2,Doug McDermott,7.977305133,,,
,,9,2,7,Jabari Parker,5.86401742,,,
,,10,20,10,Shabazz Napier,5.412959617,,,
,,11,3,8,Joel Embiid,6.476662766,,,
,,12,35,23,Lamar Patterson,3.51933306,,,
,,13,12,1,T.J. Warren,1.35481283,,,
,,14,28,14,Spencer Dinwiddie,0.792215898,,,
,,15,18,3,Jordan Adams,5.635726907,,,
,,16,29,13,Jerami Grant,0.27039957,,,
,,17,6,11,Julius Randle,8.368493905,,,
,,18,15,3,Tyler Ennis,0.689016854,,,
,,19,23,4,Kyle Anderson,0.240980989,,,
,,20,36,16,Cameron Bairstow,1.570428967,,,
,,21,25,4,Joe Harris,0.052888829,,,
,,22,9,13,Elfrid Payton,1.031677538,,,
,,23,1,22,Andrew Wiggins,0.441168777,,,
,,24,22,2,Josh Huestis,1.423118811,,,
,,25,8,17,Noah Vonleh,0.250694878,,,
,,26,7,19,Nik Stauskas,4.434637486,,,
,,27,13,14,Adreian Payne,0.322745439,,,
,,28,4,24,Aaron Gordon,6.453717423,,,
,,29,31,2,Markel Brown,0.047164166,,,
,,30,17,13,Mitch McGary,0.17996069,,,
,,31,40,9,Cory Jefferson,0.030616617,,,
,,32,32,0,Dwight Powell,0.212141902,,,
,,33,19,14,Rodney Hood,0.000338974,,,
,,34,16,18,Gary Harris,0.000304297,,,
,,35,14,21,James Young,2.02E-08,,,
,,36,38,2,Roy Devyn Marble,0.000605288,,,
,,37,21,16,C.J. Wilcox,0.000211839,,,
,,38,33,5,Jordan Clarkson,-0.00314222,,,
,,39,11,28,Zach LaVine,-0.000326448,,,
,,40,37,3,Semaj Christon,-0.001241481,,,