Rk	Pk	Tm	Player	Pos	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
1	1	MIN	Karl-Anthony Towns\townska01	C	University of Kentucky	4	323	11120	7187	3831	839	0.537	0.392	0.836	34.4	22.3	11.9	2.6	45.4	0.196	5	19.6
2	2	LAL	D'Angelo Russell\russeda01	PG	Ohio State University	4	272	7752	4493	999	1381	0.419	0.353	0.762	28.5	16.5	3.7	5.1	6.6	0.041	0.4	4.6
3	3	PHI	Jahlil Okafor\okafoja01	C	Duke University	4	190	4013	2178	976	175	0.53	0.2	0.679	21.1	11.5	5.1	0.9	5.3	0.063	-3.5	-1.5
4	4	NYK	Kristaps Porzingis\porzikr01	PF		3	186	5764	3312	1317	248	0.437	0.361	0.804	31	17.8	7.1	1.3	12.1	0.1	-0.1	2.8
5	5	ORL	Mario Hezonja\hezonma01	SG		4	277	5236	2028	842	365	0.417	0.321	0.811	18.9	7.3	3	1.3	2.4	0.022	-3	-1.3
6	6	SAC	Willie Cauley-Stein\caulewi01	PF	University of Kentucky	4	295	7090	2971	1879	483	0.534	0.222	0.611	24	10.1	6.4	1.6	17.4	0.118	0.6	4.7
7	7	DEN	Emmanuel Mudiay\mudiaem01	PG		4	246	6326	2901	758	1023	0.393	0.32	0.742	25.7	11.8	3.1	4.2	-1.2	-0.009	-3.8	-2.8
8	8	DET	Stanley Johnson\johnsst04	SF	University of Arizona	4	285	6160	1985	964	423	0.374	0.293	0.764	21.6	7	3.4	1.5	3.3	0.026	-2.1	-0.2
9	9	CHO	Frank Kaminsky\kaminfr01	PF	University of Wisconsin	4	282	6252	2758	1122	452	0.419	0.349	0.76	22.2	9.8	4	1.6	11	0.084	-1.2	1.3
10	10	MIA	Justise Winslow\winslju01	SF	Duke University	4	230	6496	2057	1222	613	0.419	0.343	0.644	28.2	8.9	5.3	2.7	7.8	0.057	-0.8	2
11	11	IND	Myles Turner\turnemy01	C	University of Texas at Austin	4	280	7863	3604	1869	349	0.495	0.363	0.771	28.1	12.9	6.7	1.2	22.1	0.135	1.4	6.8
12	12	UTA	Trey Lyles\lylestr01	PF	University of Kentucky	4	288	5051	2198	1127	306	0.431	0.331	0.705	17.5	7.6	3.9	1.1	8.1	0.077	-2.4	-0.6
13	13	PHO	Devin Booker\bookede01	SG	University of Kentucky	4	272	8945	5820	945	1154	0.437	0.354	0.854	32.9	21.4	3.5	4.2	9.8	0.053	-1.1	2
14	14	OKC	Cameron Payne\payneca01	PG	Murray State University	4	153	2454	914	274	382	0.397	0.331	0.775	16	6	1.8	2.5	2.2	0.044	-2.9	-0.6
15	15	ATL	Kelly Oubre\oubreke01	SG	University of Kansas	4	292	6442	2737	1082	242	0.424	0.321	0.778	22.1	9.4	3.7	0.8	8.3	0.062	-2.3	-0.4
16	16	BOS	Terry Rozier\roziete01	PG	University of Louisville	4	272	5433	2090	973	631	0.38	0.354	0.777	20	7.7	3.6	2.3	9.9	0.088	-0.5	2
17	17	MIL	Rashad Vaughn\vaughra01	SG	University of Nevada Las Vegas	3	139	1671	423	158	75	0.337	0.313	0.692	12	3	1.1	0.5	-0.6	-0.017	-5.6	-1.5
18	18	HOU	Sam Dekker\dekkesa01	SF	University of Wisconsin	4	200	3096	1094	607	160	0.478	0.288	0.606	15.5	5.5	3	0.8	5.4	0.083	-1.9	0.1
19	19	WAS	Jerian Grant\grantje02	PG	University of Notre Dame	4	273	4918	1665	524	796	0.412	0.324	0.771	18	6.1	1.9	2.9	8.3	0.081	-2	0
20	20	TOR	Delon Wright\wrighde01	PG	University of Utah	4	198	3807	1461	549	536	0.445	0.332	0.796	19.2	7.4	2.8	2.7	10.5	0.132	1.8	3.6
21	21	DAL	Justin Anderson\anderju01	SF	University of Virginia	4	216	2857	1154	554	143	0.419	0.302	0.778	13.2	5.3	2.6	0.7	4.7	0.079	-1.8	0.1
22	22	CHI	Bobby Portis\portibo01	PF	University of Arkansas	4	249	5044	2547	1534	282	0.458	0.361	0.751	20.3	10.2	6.2	1.1	9	0.085	-2	0
23	23	POR	Rondae Hollis-Jefferson\holliro01	SF	University of Arizona	4	234	5530	2315	1375	460	0.444	0.223	0.739	23.6	9.9	5.9	2	9.1	0.079	-1	1.4
24	24	CLE	Tyus Jones\jonesty01	PG	Duke University	4	247	4374	1249	380	823	0.419	0.333	0.819	17.7	5.1	1.5	3.3	8.4	0.092	-1.3	0.8
25	25	MEM	Jarell Martin\martija01	PF	Louisiana State University	4	184	2927	998	639	114	0.434	0.346	0.766	15.9	5.4	3.5	0.6	3.2	0.053	-3.8	-1.3
26	26	SAS	Nikola Milutinov\milutni01	C																		
27	27	LAL	Larry Nance Jr.\nancela02	PF	University of Wyoming	4	259	5924	1998	1685	436	0.539	0.295	0.698	22.9	7.7	6.5	1.7	16.4	0.133	2.2	6.3
28	28	BOS	R.J. Hunter\hunterj01	SG	Georgia State University	4	45	395	133	46	19	0.371	0.295	0.818	8.8	3	1	0.4	0.4	0.051	-3.3	-0.1
29	29	BRK	Chris McCullough\mcculch01	PF	Syracuse University	3	59	532	194	112	15	0.426	0.306	0.548	9	3.3	1.9	0.3	0.6	0.054	-2.3	0
30	30	GSW	Kevon Looney\looneke01	PF	University of California Los Angeles	4	204	2859	911	766	194	0.595	0.192	0.593	14	4.5	3.8	1	10.3	0.172	2.3	3.1
31	31	MIN	Cedi Osman\osmande01	SG		2	137	3116	1229	477	236	0.437	0.351	0.736	22.7	9	3.5	1.7	2.4	0.036	-2.3	-0.2
32	32	HOU	Montrezl Harrell\harremo01	PF	University of Louisville	4	255	4894	2864	1125	317	0.629	0.156	0.629	19.2	11.2	4.4	1.2	19.2	0.188	2.5	5.6
33	33	BOS	Jordan Mickey\mickejo01	PF	Louisiana State University	3	64	482	152	128	17	0.449	0.118	0.605	7.5	2.4	2	0.3	0.5	0.05	-4.8	-0.3
34	34	LAL	Anthony Brown\brownan02	SF	Stanford University	3	41	762	161	103	28	0.328	0.286	0.85	18.6	3.9	2.5	0.7	-0.2	-0.016	-4.8	-0.5
35	35	PHI	Willy Hernangomez\hernawi01	C		3	178	2631	1254	996	189	0.53	0.364	0.696	14.8	7	5.6	1.1	7.8	0.142	0.1	1.4
36	36	MIN	Rakeem Christmas\chrisra01	PF	Syracuse University	2	30	225	63	57	4	0.467		0.724	7.5	2.1	1.9	0.1	0.5	0.105	-4	-0.1
37	37	PHI	Richaun Holmes\holmeri01	SF	Bowling Green State University	4	226	3825	1729	988	212	0.565	0.257	0.706	16.9	7.7	4.4	0.9	12.4	0.155	1.1	3
38	38	DET	Darrun Hilliard\hillida01	SG	Villanova University	3	91	859	295	85	71	0.377	0.304	0.747	9.4	3.2	0.9	0.8	0.3	0.016	-5.1	-0.7
39	39	CHO	Juan Pablo Vaulet\vauleju01	SF																		
40	40	MIA	Josh Richardson\richajo01	SG	University of Tennessee	4	259	7949	3134	823	742	0.425	0.368	0.821	30.7	12.1	3.2	2.9	15.7	0.095	0.8	5.6
41	41	BRK	Pat Connaughton\connapa01	SF	University of Notre Dame	4	216	3208	996	503	251	0.439	0.349	0.796	14.9	4.6	2.3	1.2	6.8	0.101	-0.6	1.2
42	42	UTA	Olivier Hanlan\hanlaol01	PG	Boston College																	
43	43	IND	Joseph Young\youngjo01	PG	University of Oregon	3	127	1077	429	130	119	0.393	0.296	0.768	8.5	3.4	1	0.9	0.4	0.016	-5.3	-0.9
44	44	PHO	Andrew Harrison\harrian01	PG	University of Kentucky	3	145	2987	1012	287	399	0.373	0.294	0.779	20.6	7	2	2.8	3.2	0.051	-2.7	-0.5
45	45	BOS	Marcus Thornton\thornma02	PG	College of William & Mary																	
46	46	MIL	Norman Powell\powelno01	SG	University of California Los Angeles	4	255	4281	1810	538	309	0.442	0.345	0.807	16.8	7.1	2.1	1.2	7.3	0.082	-1.4	0.6
47	47	PHI	Arturas Gudaitis\gudaiar01	C																		
48	48	OKC	Dakari Johnson\johnsda04	C	University of Kentucky	1	31	161	55	34	8	0.564		0.55	5.2	1.8	1.1	0.3	0.6	0.178	0.3	0.1
49	49	WAS	Aaron White\whiteaa01	PF	University of Iowa																	
50	50	ATL	Marcus Eriksson\eriksma01	SG																		
51	51	ORL	Tyler Harvey\harvety01	PG	Eastern Washington University																	
52	52	DAL	Satnam Singh\singhsa01	C																		
53	53	CLE	Sir'Dominic Pointer\pointsi01	SF	St. John's University																	
54	54	UTA	Dani Diez\diezda01	SF																		
55	55	SAS	Cady Lalanne\lalanca01	PF	University of Massachusetts Amherst																	
56	56	NOP	Branden Dawson\dawsobr01	SF	Michigan State University	1	6	29	5	4	0	0.4		1	4.8	0.8	0.7	0	0	0.069	-6.6	0
57	57	DEN	Nikola Radicevic\radicni01	PG																		
58	58	PHI	J.P. Tokoto\tokotjp01	SG	University of North Carolina																	
59	59	ATL	Dimitrios Agravanis\agravdi01	PF																		
60	60	PHI	Luka Mitrovic\mitrolu01	PF																		