No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Al-Farouq Aminu\aminual01,PF,6-9,220,September 21 1990,us,6,Wake Forest University
5,Pat Connaughton\connapa01,SG,6-4,209,January 6 1993,us,1,University of Notre Dame
23,Allen Crabbe\crabbal01,SG,6-6,212,April 9 1992,us,3,University of California
17,Ed Davis\davised01,PF,6-10,225,June 5 1989,us,6,University of North Carolina
4,Maurice Harkless\harklma01,SF,6-9,220,May 11 1993,us,4,St. John's University
10,Jake Layman\laymaja01,SF,6-9,215,March 7 1994,us,R,University of Maryland
11,Meyers Leonard\leoname01,PF,7-1,255,February 27 1992,us,4,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,4,Weber State University
3,CJ McCollum\mccolcj01,SG,6-3,190,September 19 1991,us,3,Lehigh University
6,Shabazz Napier\napiesh01,PG,6-1,180,July 14 1991,us,2,University of Connecticut
27,Jusuf Nurkic\nurkiju01,C,7-0,275,August 23 1994,ba,2,
24,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,3,Duke University
55,Tim Quarterman\quartti01,SG,6-6,195,October 27 1994,us,R,Louisiana State University
1,Evan Turner\turneev01,SF,6-7,220,October 27 1988,us,6,Ohio State University
21,Noah Vonleh\vonleno01,PF,6-9,250,August 24 1995,us,2,Indiana University